Conjunto de teste,Random Forest,Adaptive Boosting,Gradient Boosting,Extreme Gradient Boosting
0.83,0.8100125334774448,0.8099999999999998,0.8001835466225229,0.8341295123100281
0.53,0.5957147240874021,0.6054545454545454,0.5967827733337642,0.6053879261016846
0.96,0.9128389296324586,0.8878947368421052,0.9223870760161524,0.8472515940666199
0.87,0.7965614970628788,0.7943749999999999,0.8059678004437593,0.8179100155830383
1.16,1.2382690476190477,1.2449999999999999,1.238870120842539,1.2508697509765625
1.25,0.8345671183224239,0.834848484848485,0.8045738183909301,0.814315676689148
0.95,1.145859449112978,0.9714285714285714,1.1616572055734409,1.1176263093948364
0.73,0.4915455999809445,0.46608695652173926,0.49414681724560905,0.4853329062461853
0.54,0.32759099158052796,0.32105263157894737,0.3152865240817246,0.3952927887439728
1.01,0.7063304951721825,0.7745,0.7257308139096932,0.7911732792854309
1.62,1.1751388935574227,1.0666666666666667,1.1626151709609687,1.0871986150741577
1.06,0.998797023809524,0.9376923076923079,0.9507251256321545,0.9397509098052979
0.47,0.31538411313690423,0.32105263157894737,0.34185492356493014,0.37069636583328247
0.67,0.7091999831601149,0.7594444444444444,0.7386725313897357,0.7928162217140198
-0.68,-0.19068333333333343,-0.265,-0.2681010053781487,-0.26616138219833374
-0.36,-0.18469333333333346,-0.2671428571428571,-0.2609832389194671,-0.3473528325557709
-0.29,-0.1652233333333334,-0.22666666666666668,-0.255078497261861,-0.3473528325557709
0.59,0.4943690751461301,0.46318181818181814,0.4873608436739976,0.4403628408908844
0.41,0.6906064510124379,0.736842105263158,0.7082092094128533,0.7168892621994019
0.62,0.44210554628678844,0.4314285714285715,0.441466432773234,0.4452284574508667
0.53,0.3945363598117978,0.3797368421052632,0.38359643830701173,0.42072007060050964
0.84,0.6218965047087416,0.6183333333333335,0.6131309013276423,0.6834035515785217
0.71,0.8026683681982795,0.7952380952380952,0.7934300438057288,0.8259173631668091
0.61,0.6780554314764182,0.7264516129032259,0.6646274239141585,0.7164968252182007
0.23,0.48285773788689795,0.45304347826086955,0.48371362786928485,0.4621029496192932
-0.08,-0.16628333333333348,-0.20375000000000004,-0.20249221447595048,-0.22273768484592438
0.12,0.027069469696969682,0.038000000000000006,0.03986976281489476,-0.0057833027094602585
0.23,0.024119047619047627,0.0775,0.06186162576457662,0.02960279770195484
0.26,0.23040763186632773,0.2237500000000001,0.23119414918786474,0.21620158851146698
0.24,0.22944016974511564,0.21620689655172415,0.22080095782630102,0.21196429431438446
0.28,0.3731424292308548,0.33958333333333335,0.37805506696913427,0.31119951605796814
0.56,0.22647543716775145,0.22400000000000003,0.21979543991296355,0.19399918615818024
0.42,0.5849697334244703,0.6010000000000001,0.5649050151438753,0.5826087594032288
